Recipe,Ingredients,Process
Chicken Korma,"1 pound boneless, skinless chicken thighs; 1/2 cup plain yogurt; 1 tablespoon ginger garlic paste; 1/2 cup chopped onions; 1/4 cup cashews; 1/4 cup grated coconut; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1/2 teaspoon garam masala; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Marinate chicken with yogurt, ginger garlic paste, and salt. Refrigerate for at least 30 minutes. In a blender, combine chopped onions, cashews, grated coconut, ground cumin, ground coriander, turmeric powder, red chili powder, and garam masala. Blend into a smooth paste. Heat oil in a pan. Add the spice paste and sauté until the oil separates. Add marinated chicken and cook until it's no longer pink. Pour in water and simmer until the chicken is cooked and the gravy thickens. Garnish with chopped cilantro. Serve hot with rice or naan."
Paneer Butter Masala,"1 cup paneer (cottage cheese) cubes; 1 onion, finely chopped; 2 tomatoes, chopped; 1 tablespoon ginger garlic paste; 1/4 cup cashews; 1/4 cup milk; 2 tablespoons butter; 1 teaspoon red chili powder; 1 teaspoon garam masala; 1/2 teaspoon ground coriander; 1/2 teaspoon ground cumin; 1/4 teaspoon turmeric powder; Salt to taste; Chopped cilantro for garnish","Grind cashews and milk into a smooth paste. Heat butter in a pan. Add chopped onions and sauté until golden brown. Stir in ginger garlic paste and cook for a minute. Add chopped tomatoes and cook until they turn soft. Add red chili powder, garam masala, ground coriander, ground cumin, turmeric powder, and salt. Cook for a few minutes. Add the cashew-milk paste and cook until the gravy thickens. Add paneer cubes and simmer for 2-3 minutes. Garnish with chopped cilantro. Serve hot with naan or rice."
Masala Dosa,"For the Dosa Batter: 2 cups parboiled rice; 1/2 cup urad dal (black gram); 1/2 teaspoon fenugreek seeds; Water (as needed); Salt to taste; For the Masala Filling: 2 cups boiled and mashed potatoes; 1/2 cup chopped onions; 1/4 cup chopped green chilies; 1/2 teaspoon mustard seeds; 1/2 teaspoon cumin seeds; 1/2 teaspoon urad dal; 1/2 teaspoon chana dal; 1/2 teaspoon turmeric powder; 1/2 teaspoon asafoetida (hing); 2 tablespoons vegetable oil; Salt to taste; Oil for greasing dosa; Coconut chutney and sambar for serving","Dosa Batter: Soak rice, urad dal, and fenugreek seeds in water for 4-5 hours. Grind into a smooth batter. Add salt and water if needed. Let it ferment overnight. Masala Filling: Heat oil in a pan. Add mustard seeds, cumin seeds, urad dal, and chana dal. Let them splutter. Add asafoetida and chopped onions. Sauté until onions are translucent. Add chopped green chilies, turmeric powder, and salt. Stir in boiled and mashed potatoes. Cook for a few minutes. Making Dosas: Heat a non-stick griddle or dosa pan. Grease it with oil. Pour a ladle of dosa batter and spread it thinly. Cook until the dosa is crisp and golden. Place a portion of the masala filling on one side of the dosa and fold it. Serve hot with coconut chutney and sambar."
Rice Pilaf,"2 cups Basmati rice; 2 tablespoons ghee; 1 onion, thinly sliced; 1/2 cup mixed vegetables (peas, carrots, corn); 1/2 teaspoon cumin seeds; 1/2 teaspoon cinnamon powder; 1/2 teaspoon cardamom pods; 1/4 cup cashews; 4 cups water; Salt to taste; Chopped cilantro for garnish","Rinse and soak Basmati rice in water for 30 minutes, then drain. Heat ghee in a large pot. Add cumin seeds, cinnamon powder, and cardamom pods. Sauté for a minute. Add sliced onions and sauté until golden brown. Stir in mixed vegetables and cashews. Cook for a few minutes. Add soaked and drained rice. Mix well. Pour in water and add salt. Bring to a boil. Reduce heat, cover, and simmer for 15-20 minutes until rice is cooked and the liquid is absorbed. Garnish with chopped cilantro. Serve hot."
Gobi Manchurian,"For the Gobi (Cauliflower) Fritters: 2 cups cauliflower florets; 1/2 cup all-purpose flour; 1/4 cup cornstarch; 1 teaspoon ginger garlic paste; 1/2 teaspoon red chili powder; 1/4 teaspoon black pepper; Water (as needed); Salt to taste; Oil for frying; For the Manchurian Sauce: 1 onion, finely chopped; 1 bell pepper, finely chopped; 2 cloves garlic, minced; 1 tablespoon ginger, minced; 2 tablespoons soy sauce; 1 tablespoon tomato ketchup; 1 teaspoon red chili sauce (adjust to taste); 1 teaspoon vinegar; 1 teaspoon sugar; 1/2 teaspoon black pepper; 1/2 teaspoon cornstarch mixed with 2 tablespoons water; Chopped spring onions for garnish","Gobi Fritters: In a bowl, combine all-purpose flour, cornstarch, ginger garlic paste, red chili powder, black pepper, and salt. Add water to form a batter. Dip cauliflower florets in the batter and deep fry until golden brown. Manchurian Sauce: Heat oil in a pan. Add minced garlic and ginger. Sauté for a minute. Add chopped onions and bell peppers. Cook until they turn soft. Stir in soy sauce, tomato ketchup, red chili sauce, vinegar, sugar, black pepper, and salt. Add cornstarch-water mixture to thicken the sauce. Add fried cauliflower florets and toss to coat in the sauce. Garnish with chopped spring onions. Serve hot."
Bhindi Masala,"2 cups okra (bhindi), washed, dried, and sliced; 1 onion, finely chopped; 1 tomato, chopped; 1 tablespoon ginger garlic paste; 1 green chili, chopped (adjust to taste); 1/2 teaspoon cumin seeds; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder (adjust to taste); 1 teaspoon ground cumin; 1 teaspoon ground coriander; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Heat oil in a pan. Add cumin seeds and let them splutter. Add chopped onions and sauté until golden brown. Stir in ginger garlic paste and green chili. Cook for a minute. Add chopped tomatoes and cook until they turn soft. Add turmeric powder, red chili powder, ground cumin, ground coriander, and salt. Cook for a few minutes. Add sliced okra and cook until they are tender and slightly crispy. Garnish with chopped cilantro. Serve hot with roti or rice."
Chicken Biryani,"2 cups Basmati rice; 1 pound chicken, cut into pieces; 1/2 cup plain yogurt; 1 tablespoon ginger garlic paste; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; Salt to taste; 2 tablespoons ghee; 1 onion, thinly sliced; 2 tomatoes, chopped; 1/2 cup chopped mint leaves; 1/2 cup chopped cilantro; 2 tablespoons fried onions (for garnish); Saffron strands soaked in milk (for garnish)","Rinse and soak Basmati rice in water for 30 minutes, then drain. Marinate chicken with yogurt, ginger garlic paste, ground cumin, ground coriander, turmeric powder, red chili powder, and salt. Refrigerate for at least 30 minutes. Heat ghee in a large pot. Add sliced onions and sauté until golden brown. Stir in chopped tomatoes, mint leaves, and cilantro. Cook until tomatoes turn soft. Add marinated chicken and cook until it's no longer pink. Layer the rice over the chicken mixture. Sprinkle fried onions and saffron-soaked milk on top. Cover and cook on low heat for 20-25 minutes until rice is cooked and flavors meld together. Serve hot."
Mutton Curry,"1 pound mutton pieces; 1 onion, finely chopped; 2 tomatoes, chopped; 1 tablespoon ginger garlic paste; 1/2 cup plain yogurt; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder (adjust to taste); 1 teaspoon garam masala; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Marinate mutton pieces with yogurt, ginger garlic paste, ground cumin, ground coriander, turmeric powder, red chili powder, and salt. Refrigerate for at least 2 hours. Heat oil in a pressure cooker or heavy-bottomed pot. Add chopped onions and sauté until golden brown. Stir in chopped tomatoes and cook until they turn soft. Add marinated mutton and cook until it's browned. Add water and pressure cook for 4-5 whistles or simmer until mutton is tender. Sprinkle garam masala and garnish with chopped cilantro. Serve hot with rice or naan."
Vegetable Pulao,"2 cups Basmati rice; 2 tablespoons ghee; 1 onion, thinly sliced; 1/2 cup mixed vegetables (carrots, peas, beans, corn); 1 teaspoon cumin seeds; 1/2 teaspoon cinnamon powder; 1/2 teaspoon cardamom pods; 1/4 cup cashews; 4 cups water; Salt to taste; Chopped cilantro for garnish","Rinse and soak Basmati rice in water for 30 minutes, then drain. Heat ghee in a large pot. Add cumin seeds, cinnamon powder, and cardamom pods. Sauté for a minute. Add sliced onions and sauté until golden brown. Stir in mixed vegetables and cashews. Cook for a few minutes. Add soaked and drained rice. Mix well. Pour in water and add salt. Bring to a boil. Reduce heat, cover, and simmer for 15-20 minutes until rice is cooked and the liquid is absorbed. Garnish with chopped cilantro. Serve hot."
Egg Curry,"4 eggs, hard-boiled and peeled; 1 onion, finely chopped; 2 tomatoes, chopped; 1 tablespoon ginger garlic paste; 1/2 cup plain yogurt; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder (adjust to taste); 1 teaspoon garam masala; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Heat oil in a pan. Add chopped onions and sauté until golden brown. Stir in ginger garlic paste and cook for a minute. Add chopped tomatoes and cook until they turn soft. Add ground cumin, ground coriander, turmeric powder, red chili powder, and salt. Cook for a few minutes. Whisk yogurt and add it to the pan. Simmer for a few minutes. Cut hard-boiled eggs in half and add them to the curry. Sprinkle garam masala and garnish with chopped cilantro. Serve hot with rice or naan."
